COD_DPTO,COD_MUNIC,ANO,apgar_bajo_promedio,consultas_promedio,defunciones_fetales,edad_materna_promedio,num_instituciones,pct_area_rural,pct_bajo_nivel_educativo,pct_bajo_peso,pct_cesarea,pct_embarazo_multiple,pct_instituciones_publicas,pct_madres_adolescentes,pct_madres_edad_avanzada,pct_prematuro,pct_regimen_subsidiado,pct_sin_control_prenatal,pct_sin_seguridad_social,presion_obstetrica,tasa_mortalidad_fetal,total_defunciones,total_nacimientos,puntos_riesgo,riesgo_obstetrico,tasa_mortalidad_infantil,alta_mortalidad
50,1,2020,0.0174232435486909,5.377228563343081,823.0,3.787248069316256,34.333333333333336,0.0012243360331512,0.6805424750423809,0.0681860990770389,0.3455453004332266,0.016010548125824,0.3927785425028781,1.0,0.0,0.9967037106799774,0.4327556978715389,0.0404972687888491,0.0297607835750612,309.26213592233006,77.50988886796006,104.0,10618,5,1,9.79468826521002,1
50,1,2021,0.0151952298518945,5.602541883304449,773.0,3.844970186574341,34.333333333333336,0.0008655510675129,0.6778226582035006,0.0685708790151952,0.3232352375456818,0.0203885362569724,0.3927785425028781,1.0,0.0,0.9956722446624352,0.4271013656472398,0.0427966916714752,0.0226966724370071,302.8543689320388,74.34121946528178,108.0,10398,6,1,10.3866128101558,1
50,1,2022,0.0124142107387969,5.572365765038353,520.0,3.872930964876867,34.333333333333336,0.0008074283407347,0.687525232135648,0.0761001211142511,0.3346790472345579,0.018873637464675,0.3927785425028781,1.0,0.0,0.9979814291481632,0.4577109406540169,0.0389584174404521,0.0146346386758175,288.58252427184465,52.482842147759385,127.0,9908,6,1,12.817924909164311,1
50,1,2023,0.0035487686848048,5.71201204430584,393.0,3.919561243144424,34.333333333333336,0.0009678460049467,0.6709323583180987,0.0675341434562856,0.3471341004409076,0.0184966125389826,0.3927785425028781,1.0,0.0,0.9979567695451124,0.4957522314227336,0.0375309173029358,0.0104312291644262,270.8446601941748,42.26260888267556,87.0,9299,2,0,9.355844714485428,1
50,1,2024,0.0046263345195729,5.8210726150925485,357.0,3.931198102016608,34.333333333333336,0.0010676156583629,0.6577698695136418,0.0749703440094899,0.3480427046263345,0.0154211150652431,0.3927785425028781,1.0,0.0,0.9981020166073546,0.493238434163701,0.0341637010676156,0.0084223013048635,245.53398058252424,42.34875444839858,76.0,8430,3,1,9.015421115065243,1
50,6,2020,0.028735632183908,4.985590778097983,0.0,3.583333333333333,34.333333333333336,0.0,0.8074712643678161,0.0201149425287356,0.0,0.0,0.3927785425028781,1.0,0.0,0.9971264367816092,0.5114942528735632,0.0977011494252873,0.014367816091954,10.135922330097086,0.0,3.0,348,1,0,8.620689655172413,1
50,6,2021,0.0248226950354609,5.070921985815603,1.0,3.49290780141844,34.333333333333336,0.0,0.8156028368794326,0.0212765957446808,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.4858156028368794,0.0354609929078014,0.0106382978723404,8.213592233009708,3.5460992907801416,0.0,282,1,0,0.0,0
50,6,2022,0.0129449838187702,5.190938511326861,5.0,3.5501618122977345,34.333333333333336,0.0032362459546925,0.8317152103559871,0.0420711974110032,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.511326860841424,0.0420711974110032,0.0032362459546925,9.0,16.181229773462782,3.0,309,1,0,9.70873786407767,1
50,6,2023,0.0,5.455516014234876,6.0,3.704626334519573,34.333333333333336,0.0071174377224199,0.8932384341637011,0.0320284697508896,0.0,0.0035587188612099,0.3927785425028781,1.0,0.0,1.0,0.5729537366548043,0.0284697508896797,0.0249110320284697,8.184466019417474,21.352313167259787,0.0,281,1,0,0.0,0
50,6,2024,0.0,5.460251046025105,5.0,3.595833333333333,34.333333333333336,0.0,0.8625,0.0416666666666666,0.0,0.0,0.3927785425028781,1.0,0.0,0.9916666666666668,0.5791666666666667,0.025,0.0083333333333333,6.990291262135922,20.83333333333333,0.0,240,1,0,0.0,0
50,110,2020,0.0,4.5,0.0,3.5,34.333333333333336,0.0357142857142857,0.8928571428571429,0.0,0.0,0.0,0.3927785425028781,1.0,0.0,0.9821428571428572,0.5178571428571429,0.0892857142857142,0.0,1.6310679611650485,0.0,1.0,56,0,0,17.857142857142858,1
50,110,2021,0.0172413793103448,4.879310344827586,0.0,3.5172413793103448,34.333333333333336,0.0,0.8620689655172413,0.0344827586206896,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.4655172413793103,0.0517241379310344,0.0172413793103448,1.6893203883495145,0.0,0.0,58,0,0,0.0,0
50,110,2022,0.0,3.303030303030303,1.0,3.411764705882353,34.333333333333336,0.0294117647058823,0.9117647058823528,0.0294117647058823,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.5588235294117647,0.2352941176470588,0.0,0.9902912621359222,29.41176470588235,0.0,34,1,0,0.0,0
50,110,2023,0.0,3.5,1.0,4.0,34.333333333333336,0.125,0.875,0.0,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.6875,0.125,0.0,0.4660194174757281,62.5,0.0,16,4,1,0.0,0
50,110,2024,0.0909090909090909,4.2727272727272725,0.0,3.4545454545454546,34.333333333333336,0.0,1.0,0.0909090909090909,0.0,0.0,0.3927785425028781,1.0,0.0,0.9090909090909092,0.5454545454545454,0.1818181818181818,0.0,0.3203883495145631,0.0,0.0,11,1,0,0.0,0
50,124,2020,0.0,4.125,1.0,3.625,34.333333333333336,0.0,0.9375,0.0,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.75,0.0625,0.0,0.4660194174757281,62.5,0.0,16,4,1,0.0,0
50,124,2021,0.0588235294117647,4.823529411764706,2.0,3.294117647058824,34.333333333333336,0.2352941176470588,0.9411764705882352,0.0588235294117647,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.7647058823529411,0.0588235294117647,0.0,0.4951456310679611,117.6470588235294,0.0,17,4,1,0.0,0
50,124,2022,0.0909090909090909,3.727272727272727,1.0,3.8181818181818175,34.333333333333336,0.0909090909090909,0.8181818181818182,0.1818181818181818,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.6363636363636364,0.0909090909090909,0.0,0.3203883495145631,90.9090909090909,1.0,11,5,1,90.9090909090909,1
50,124,2023,0.0,4.785714285714286,1.0,3.7857142857142856,34.333333333333336,0.0,0.8571428571428571,0.1428571428571428,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.5714285714285714,0.1428571428571428,0.0,0.4077669902912621,71.42857142857143,0.0,14,5,1,0.0,0
50,124,2024,0.0,4.117647058823529,1.0,3.0,34.333333333333336,0.0588235294117647,1.0,0.1176470588235294,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.7647058823529411,0.0,0.0,0.4951456310679611,58.8235294117647,0.0,17,5,1,0.0,0
50,150,2020,0.074074074074074,6.148148148148148,0.0,3.888888888888889,34.333333333333336,0.037037037037037,0.8518518518518519,0.1111111111111111,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.4814814814814814,0.0,0.0,0.7864077669902912,0.0,0.0,27,1,0,0.0,0
50,150,2021,0.0909090909090909,6.181818181818182,0.0,4.090909090909091,34.333333333333336,0.0,0.8181818181818182,0.0454545454545454,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.6363636363636364,0.0,0.0,0.6407766990291262,0.0,0.0,22,0,0,0.0,0
50,150,2022,0.0,4.769230769230769,1.0,3.230769230769231,34.333333333333336,0.0,0.9230769230769232,0.0769230769230769,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.6923076923076923,0.0769230769230769,0.0,0.3786407766990291,76.92307692307693,0.0,13,5,1,0.0,0
50,150,2023,0.0,4.888888888888889,0.0,3.4444444444444446,34.333333333333336,0.2222222222222222,0.8888888888888888,0.0,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.7777777777777778,0.0,0.0,0.2621359223300971,0.0,0.0,9,-1,-1,0.0,0
50,150,2024,0.0,5.0,0.0,3.333333333333333,34.333333333333336,0.0,1.0,0.1666666666666666,0.0,0.0,0.3927785425028781,1.0,0.0,0.8333333333333334,0.8333333333333334,0.1666666666666666,0.0,0.174757281553398,0.0,0.0,6,-1,-1,0.0,0
50,223,2020,0.0,6.142857142857143,0.0,4.285714285714286,34.333333333333336,0.0,0.7142857142857143,0.0714285714285714,0.0714285714285714,0.0,0.3927785425028781,1.0,0.0,1.0,0.6428571428571429,0.0,0.0,0.4077669902912621,0.0,0.0,14,1,0,0.0,0
50,223,2021,0.0,5.333333333333333,0.0,3.888888888888889,34.333333333333336,0.0,0.7777777777777778,0.1111111111111111,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.5555555555555556,0.0,0.1111111111111111,0.2621359223300971,0.0,0.0,9,-1,-1,0.0,0
50,223,2022,0.0,4.428571428571429,0.0,3.571428571428572,34.333333333333336,0.0,0.7142857142857143,0.0,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.7142857142857143,0.0,0.0,0.203883495145631,0.0,0.0,7,-1,-1,0.0,0
50,223,2023,0.0,4.5,0.0,4.75,34.333333333333336,0.0,0.25,0.0,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.75,0.0,0.0,0.116504854368932,0.0,0.0,4,-1,-1,0.0,0
50,223,2024,0.0,4.666666666666667,0.0,3.333333333333333,34.333333333333336,0.0,1.0,0.0,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,1.0,0.0,0.0,0.087378640776699,0.0,0.0,3,-1,-1,0.0,0
