COD_DPTO,COD_MUNIC,ANO,total_nacimientos,edad_materna_promedio,pct_madres_adolescentes,pct_madres_solteras,pct_educacion_baja,pct_prematuros,pct_bajo_peso,pct_apgar_bajo,apgar_bajo_promedio,pct_partos_multiples,pct_cesareas,t_ges_promedio,num_instituciones,pct_instituciones_publicas,instituciones_per_1000nac,atenciones_per_nacimiento,urgencias_per_nacimiento,consultas_per_nacimiento,procedimientos_per_nacimiento,pct_urgencias,pct_sin_seguridad,pct_regimen_subsidiado,pct_multiparidad,consultas_promedio,pct_consultas_insuficientes,pct_sin_control_prenatal,tasa_mortalidad_neonatal,tasa_mortalidad_fetal,defunciones_fetales,presion_obstetrica,total_defunciones,pct_mortalidad_evitable,pct_embarazos_alto_riesgo,indice_fragilidad_sistema
50,1,2020,10618,25.936240346581275,16.6227161423997,53.36221510642305,27.453381051045394,99.67037106799775,26.784705217555093,1.7423243548690903,0.0067809380297607835,1.6104727820681861,1.045394612921454,3.8388585420983237,853.0,2.6255707762557075,80.33527971369372,3.915332454322848,0.008570352232058768,0.028630627236767753,0.017988321717837635,0.2188920693719481,2.9666603880203426,43.27556978715389,8.570352232058768,5.377228563343081,21.322282915803353,4.049726878884912,6.686758334902995,77.50988886796006,823.0,87.3045771331701,927.0,92.88025889967638,99.67037106799775,53.431565411085444
50,1,2021,10398,26.224850932871707,15.464512406231968,56.260819388343904,28.572802462011925,99.56722446624352,26.774379688401616,1.5195229851894596,0.0042315829967301405,2.067705327947682,1.0675129832660126,3.831217541834968,853.0,2.6255707762557075,82.03500673206386,1.7293710328909406,0.011155991536834007,0.021350259665320254,0.01981150221196384,0.6450895339784228,2.2311983073668014,42.71013656472398,9.319099826889786,5.602541883304449,19.157530294287366,4.279669167147528,6.8282361992690905,74.34121946528178,773.0,84.72783227543758,881.0,91.94097616345063,99.6153106366609,52.45347969057551
50,1,2022,9908,26.364654824384335,15.098909971740007,58.77069035123132,31.62091239402503,99.79814291481631,29.683084376261608,1.2414210738796931,0.005450141299959629,1.8873637464675008,0.9588211546225273,3.810758982640291,853.0,2.6255707762557075,86.09204683084376,0.0,0.0,0.0,0.0,0.0,1.4533710133225677,45.7710940654017,9.44691158659669,5.572365765038353,18.3589018974566,3.8958417440452164,9.386354461041583,52.482842147759385,520.0,65.3007670569237,647.0,89.64451313755795,99.81832862333468,51.441781724610955
50,1,2023,9299,26.59780621572212,13.377782557264222,58.04925260780729,29.852672330358104,99.79567695451124,27.59436498548231,0.3548768684804818,0.003333691794816647,1.8711689428970855,0.6129691364662867,3.8253575653296052,853.0,2.6255707762557075,91.73029357995483,0.0,0.0,0.0,0.0,0.0,1.0108613829444026,49.57522314227336,9.1945370469943,5.7120120443058395,16.99107430906549,3.75309173029358,6.774922034627379,42.26260888267556,393.0,51.61845359716098,480.0,90.625,99.8709538660071,51.173909348931524
50,1,2024,8430,26.655990510083036,12.72835112692764,57.959667852906286,30.794780545670225,99.81020166073546,28.540925266903916,0.4626334519572953,0.0045077105575326215,1.601423487544484,0.4863582443653618,3.8026097271648873,853.0,2.6255707762557075,101.18623962040333,0.0,0.0,0.0,0.0,0.0,0.7947805456702255,49.3238434163701,8.07829181494662,5.8210726150925485,15.705812574139976,3.416370106761566,5.57532621589561,42.34875444839858,357.0,51.364175563463824,433.0,89.37644341801386,99.86951364175563,50.38512085280884
50,6,2020,348,24.916666666666668,18.96551724137931,52.87356321839081,45.689655172413794,99.71264367816092,22.988505747126435,2.8735632183908044,0.008620689655172414,0.0,0.0,3.9195402298850577,73.0,5.263157894736842,209.77011494252872,18.477011494252874,0.21264367816091953,0.5373563218390804,0.25,1.1508553654743392,1.4367816091954022,51.14942528735632,11.206896551724139,4.985590778097983,25.0,9.770114942528735,2.8735632183908044,0.0,0.0,8.620689655172413,3.0,66.66666666666666,99.71264367816092,46.02832512315271
50,6,2021,282,24.4645390070922,21.98581560283688,67.37588652482269,46.808510638297875,100.0,22.69503546099291,2.4822695035460995,0.0035460992907801418,0.0,0.3546099290780142,3.904255319148936,73.0,5.263157894736842,258.8652482269503,16.627659574468087,0.09929078014184398,0.48936170212765956,0.28368794326241137,0.5971422478140328,1.0638297872340425,48.58156028368794,10.99290780141844,5.070921985815603,18.79432624113475,3.546099290780142,0.0,3.5460992907801416,1.0,3.5460992907801416,1.0,0.0,100.0,27.19098277608916
50,6,2022,309,24.750809061488674,17.475728155339805,66.01941747572816,43.689320388349515,100.0,24.919093851132686,1.2944983818770228,0.006472491909385114,0.0,0.0,3.9093851132686086,73.0,5.263157894736842,236.24595469255664,0.0,0.0,0.0,0.0,0.0,0.3236245954692557,51.1326860841424,14.886731391585762,5.190938511326861,15.857605177993527,4.207119741100324,0.0,16.181229773462782,5.0,25.889967637540455,8.0,75.0,100.0,45.264100785945445
50,6,2023,281,25.523131672597867,16.014234875444842,57.65124555160143,22.77580071174377,100.0,28.46975088967972,0.0,0.0,0.3558718861209964,0.0,3.886120996441281,73.0,5.263157894736842,259.7864768683274,0.0,0.0,0.0,0.0,0.0,2.491103202846975,57.29537366548043,12.811387900355871,5.455516014234876,15.302491103202847,2.8469750889679712,0.0,21.352313167259787,6.0,21.352313167259787,6.0,100.0,100.0,51.664972038637515
50,6,2024,240,24.979166666666668,17.916666666666668,52.5,22.083333333333332,99.16666666666667,30.833333333333336,0.0,0.0,0.4166666666666667,0.0,3.879166666666667,73.0,5.263157894736842,304.16666666666663,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,57.91666666666667,7.5,5.460251046025105,13.333333333333334,2.5,0.0,20.833333333333332,5.0,20.833333333333332,5.0,100.0,99.58333333333333,50.17857142857143
