COD_DPTO,COD_MUNIC,ANO,apgar_bajo_promedio,atenciones_per_nacimiento,consultas_per_nacimiento,consultas_promedio,defunciones_fetales,edad_materna_promedio,indice_fragilidad_sistema,num_instituciones,pct_area_rural,pct_bajo_nivel_educativo,pct_bajo_peso,pct_cesarea,pct_embarazo_multiple,pct_embarazos_alto_riesgo,pct_instituciones_publicas,pct_madres_adolescentes,pct_madres_edad_avanzada,pct_mortalidad_evitable,pct_prematuro,pct_regimen_subsidiado,pct_sin_control_prenatal,pct_sin_seguridad_social,presion_obstetrica,procedimientos_per_nacimiento,tasa_mortalidad_fetal,tasa_mortalidad_neonatal,total_defunciones,total_nacimientos,urgencias_per_nacimiento,edad_materna_categoria,tasa_mortalidad_fetal_categoria,tasa_mortalidad_neonatal_categoria,bajo_peso_categoria,prematuros_categoria,sin_prenatal_categoria,cesareas_categoria,madres_adolescentes_categoria,fragilidad_categoria,presion_obstetrica_categoria
50,110,2020,0.0,500.0,0.25,4.5,0.0,24.5,0.0,4,0.0357142857142857,0.8928571428571429,0.0,0.0,0.0,98.21428571428572,0.25,0.2857142857142857,0.1071428571428571,100.0,0.9821428571428572,0.5178571428571429,0.0892857142857142,0.0,14.0,0.0892857142857142,0.0,0.0,1.0,56,0.0357142857142857,Jóvenes (bajo riesgo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟡 Moderada
50,110,2021,0.0172413793103448,500.0,0.2586206896551724,4.879310344827586,0.0,24.58620689655172,0.0,4,0.0,0.8620689655172413,0.0344827586206896,0.0,0.0,100.0,0.25,0.1724137931034483,0.0517241379310344,0.0,1.0,0.4655172413793103,0.0517241379310344,0.0172413793103448,14.5,0.2068965517241379,0.0,0.0,0.0,58,0.0344827586206896,Jóvenes (bajo riesgo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟡 Moderada
50,110,2022,0.0,0.0,0.0,3.303030303030303,1.0,24.058823529411764,0.0,4,0.0294117647058823,0.9117647058823528,0.0294117647058823,0.0,0.0,100.0,0.25,0.2352941176470588,0.088235294117647,100.0,1.0,0.5588235294117647,0.2352941176470588,0.0,8.5,0.0,29.41176470588235,0.0,0.0,34,0.0,Jóvenes (bajo riesgo),🟠 Alto,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,110,2023,0.0,0.0,0.0,3.5,1.0,27.0,0.0,4,0.125,0.875,0.0,0.0,0.0,100.0,0.25,0.25,0.1875,100.0,1.0,0.6875,0.125,0.0,4.0,0.0,62.5,0.0,0.0,16,0.0,Adultas jóvenes (óptimo),🔴 Crítico,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,110,2024,0.0909090909090909,0.0,0.0,4.2727272727272725,0.0,24.272727272727277,0.0,4,0.0,1.0,0.0909090909090909,0.0,0.0,90.9090909090909,0.25,0.2727272727272727,0.0,0.0,0.9090909090909092,0.5454545454545454,0.1818181818181818,0.0,2.75,0.0,0.0,0.0,0.0,11,0.0,Jóvenes (bajo riesgo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,124,2020,0.0,500.0,0.5,4.125,1.0,25.125,0.0,2,0.0,0.9375,0.0,0.0,0.0,100.0,0.5,0.0,0.0625,100.0,1.0,0.75,0.0625,0.0,8.0,0.0,62.5,0.0,0.0,16,0.125,Adultas jóvenes (óptimo),🔴 Crítico,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,124,2021,0.0588235294117647,500.0,0.1764705882352941,4.823529411764706,2.0,23.47058823529412,0.0,2,0.2352941176470588,0.9411764705882352,0.0588235294117647,0.0,0.0,100.0,0.5,0.4117647058823529,0.1176470588235294,100.0,1.0,0.7647058823529411,0.0588235294117647,0.0,8.5,0.0588235294117647,117.6470588235294,0.0,0.0,17,0.1764705882352941,Jóvenes (bajo riesgo),🔴 Crítico,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,124,2022,0.0909090909090909,0.0,0.0,3.727272727272727,1.0,26.09090909090909,0.0,2,0.0909090909090909,0.8181818181818182,0.1818181818181818,0.0,0.0,100.0,0.5,0.1818181818181818,0.1818181818181818,50.0,1.0,0.6363636363636364,0.0909090909090909,0.0,5.5,0.0,90.9090909090909,0.0,1.0,11,0.0,Adultas jóvenes (óptimo),🔴 Crítico,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,124,2023,0.0,0.0,0.0,4.785714285714286,1.0,25.928571428571427,0.0,2,0.0,0.8571428571428571,0.1428571428571428,0.0,0.0,100.0,0.5,0.2142857142857142,0.0714285714285714,100.0,1.0,0.5714285714285714,0.1428571428571428,0.0,7.0,0.0,71.42857142857143,0.0,0.0,14,0.0,Adultas jóvenes (óptimo),🔴 Crítico,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,124,2024,0.0,0.0,0.0,4.117647058823529,1.0,22.0,0.0,2,0.0588235294117647,1.0,0.1176470588235294,0.0,0.0,100.0,0.5,0.2941176470588235,0.0,100.0,1.0,0.7647058823529411,0.0,0.0,8.5,0.0,58.8235294117647,0.0,0.0,17,0.0,Jóvenes (bajo riesgo),🔴 Crítico,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
